"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","70118817792","125.72","Singapore"
"2","DBS","DBSDF","69282676736","26.94","Singapore"
"3","OCBC Bank","O39.SI","41961200781","9.34","Singapore"
"4","UOB","U11.SI","40264497777","24.08","Singapore"
"5","Singtel","SNGNF","32669358080","1.9","Singapore"
"6","Wilmar","WLMIF","21782740992","3.46","Singapore"
"7","Grab Holdings","GRAB","19341434880","5.17","Singapore"
"8","Singapore Airlines","SINGF","11576607744","3.81","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10518076296","1.59","Singapore"
"10","ST Engineering","SJX.F","9160936019","2.83","Singapore"
"11","Ascendas Reit","A17U.SI","8835545409","2.1","Singapore"
"12","Keppel","BN4.SI","8146789964","4.48","Singapore"
"13","Flex","FLEX","7740955136","16.68","Singapore"
"14","Singapore Exchange","SPXCF","7716375040","7.22","Singapore"
"15","Great Eastern","G07.SI","7526158772","15.9","Singapore"
"16","Genting Singapore","G13.SI","6998846199","0.58","Singapore"
"17","BOC Aviation","2588.HK","6714776643","9.68","Singapore"
"18","Jardine Singapore","C07.SI","6631432027","16.78","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6295917494","1.32","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","5066422939","1.9","Singapore"
"21","City Developments","C09.SI","4883263425","5.38","Singapore"
"22","Olam","O32.SI","4811304270","1.3","Singapore"
"23","Mapletree Commercial Trust","N2IU.SI","4572781806","1.38","Singapore"
"24","UOL Group","U14.SI","4546050203","5.38","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3870695782","1.05","Singapore"
"26","SATS","S58.SI","3488314792","3.11","Singapore"
"27","Suntec REIT","T82U.SI","3487679259","1.23","Singapore"
"28","Sembcorp","U96.SI","3256673142","1.83","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3176074240","50.98","Singapore"
"30","Keppel REIT","K71U.SI","3175826236","0.86","Singapore"
"31","Kenon Holdings","KEN","3068953600","56.96","Singapore"
"32","Mapletree North Asia Commercial Trust","RW0U.SI","2833742563","0.8","Singapore"
"33","NetLink Trust","CJLU.SI","2825813062","0.73","Singapore"
"34","United Industrial Corporation","U06.SI","2727707764","1.9","Singapore"
"35","ComfortDelGro","C52.SI","2385703675","1.1","Singapore"
"36","HPH Trust","HCTPF","2291019520","0.26","Singapore"
"37","TDCX","TDCX","1985740160","13.9","Singapore"
"38","Yanlord","Z25.SI","1695108269","0.88","Singapore"
"39","Karooooo","KARO","1015815104","32.82","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","64079748","2.76","Singapore"
